Timestamp,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Label
1764557631.3381882,0,-7,-5,-4,-1,1,1,-2,rest
1764557631.3381882,0,6,6,1,0,-1,-14,-1,rest
1764557631.3452783,1,-7,-3,-2,-2,-1,2,6,rest
1764557631.3452783,2,1,0,-1,1,3,0,0,rest
1764557631.3611338,0,11,4,0,0,-2,-1,0,rest
1764557631.3611338,-2,-3,3,0,0,-1,1,-3,rest
1764557631.3626134,-1,-4,-5,0,-1,-1,-11,-3,rest
1764557631.3626134,1,3,0,0,-2,0,31,3,rest
1764557631.3836877,-1,-4,4,1,-2,0,-3,1,rest
1764557631.3836877,-2,-1,-3,-4,-2,-1,3,0,rest
1764557631.384682,1,2,0,1,4,1,-2,0,rest
1764557631.3856819,0,3,0,1,-2,-4,-14,-4,rest
1764557631.3983624,0,-3,-1,1,-1,-7,1,-1,rest
1764557631.3983624,0,5,5,0,1,9,6,1,rest
1764557631.4053671,-2,-9,-6,-6,-3,-4,-1,-1,rest
1764557631.4053671,-4,-6,-6,-3,-3,-2,-4,0,rest
1764557631.4207308,-1,2,-5,-2,-1,3,8,-1,rest
1764557631.4207308,-1,-6,-1,0,-1,-7,-4,2,rest
1764557631.4228585,0,4,1,2,1,4,-10,-1,rest
1764557631.4228585,-1,5,1,1,1,0,-1,-4,rest
1764557631.443899,-1,-5,-2,-2,-3,-5,-5,-4,rest
1764557631.443899,0,1,1,0,-2,-4,3,11,rest
1764557631.4448986,0,-7,-3,0,-1,2,4,0,rest
1764557631.4448986,-3,-3,0,0,1,-3,-6,-9,rest
1764557631.4578981,1,3,5,0,-2,3,-12,5,rest
1764557631.4578981,-3,-3,-4,-3,-1,0,9,-6,rest
1764557631.4648986,-1,2,1,0,-2,-3,0,-1,rest
1764557631.4648986,-3,0,-1,0,1,0,-12,1,rest
1764557631.4809206,1,-5,-5,0,1,0,-2,-4,rest
1764557631.4809206,-3,0,1,0,1,-1,-1,-5,rest
1764557631.482921,-2,0,-2,-1,-2,-2,-3,-1,rest
1764557631.482921,-1,-3,-3,-2,-2,-1,2,-2,rest
1764557631.5031462,0,2,2,-1,1,2,7,9,rest
1764557631.5031462,0,-4,-4,-1,-1,-4,-15,-9,rest
1764557631.5051467,0,4,6,0,-2,-11,6,-3,rest
1764557631.5051467,-1,-3,-1,0,2,27,4,0,rest
1764557631.5265582,1,2,0,-2,-2,-7,7,3,rest
1764557631.5265582,-1,0,-3,-1,1,-1,-4,-5,rest
1764557631.5275576,-1,1,-1,-4,0,0,-8,0,rest
1764557631.5275576,-1,-6,-5,-1,-4,-8,0,-3,rest
1764557631.541397,2,5,3,2,-1,3,-14,16,rest
1764557631.541397,-1,0,-2,1,0,3,11,1,rest
1764557631.5423963,-2,1,3,2,0,-1,-3,-4,rest
1764557631.5423963,0,1,0,-1,-2,-5,1,5,rest
1764557631.5633602,-4,-2,-3,0,1,1,-4,-10,rest
1764557631.5633602,-1,-2,1,-2,-2,-6,-1,-1,rest
1764557631.5653868,0,-3,-6,-3,-1,2,-1,1,rest
1764557631.5653868,0,0,1,0,1,-4,2,-6,rest
1764557631.5780408,-3,-1,2,0,0,1,4,-1,rest
1764557631.5780408,-1,-6,-5,-1,-2,0,1,-1,rest
1764557631.5844195,-1,0,0,-1,-2,0,6,0,rest
1764557631.5844195,-2,-5,-3,-3,1,-5,-5,0,rest
1764557631.609023,-1,-12,1,1,0,-2,10,-3,rest
1764557631.609023,2,22,4,-1,-1,-4,2,4,rest
1764557631.6100225,1,-1,-1,-1,-3,5,-10,-2,rest
1764557631.6100225,-1,-1,1,0,0,-5,2,7,rest
1764557631.6240227,1,-1,-1,-3,-2,-5,-3,-3,rest
1764557631.6240227,-1,-5,-1,-1,-2,-6,2,1,rest
1764557631.6250238,-1,-4,-3,0,-1,1,5,1,rest
1764557631.6250238,0,2,0,0,2,-5,-29,0,rest
1764557631.638068,-1,2,1,2,2,1,3,-5,rest
1764557631.638068,-1,-4,-2,0,-2,-6,-5,-1,rest
1764557631.6450815,-2,5,3,-2,1,-2,5,-3,rest
1764557631.6450815,-1,-2,-3,0,-3,1,-4,6,rest
1764557631.6610672,-1,-1,-2,-3,1,0,-4,-7,rest
1764557631.6610672,-1,-1,-1,-3,-1,3,1,-2,rest
1764557631.6630676,0,-7,-2,-1,-1,2,-4,0,rest
1764557631.6630676,-1,1,-1,1,-1,0,5,-3,rest
1764557631.6835148,2,4,-1,-1,-2,0,-1,-6,rest
1764557631.6835148,0,-3,0,-2,1,4,2,0,rest
1764557631.6855145,-1,2,2,1,-1,1,3,0,rest
1764557631.6855145,1,6,5,0,-2,-5,2,0,rest
1764557631.6975443,1,-1,-3,-3,-2,1,2,-3,rest
1764557631.6975443,-3,-4,-1,0,-3,-6,1,2,rest
1764557631.7045963,-1,-3,-1,-2,0,5,-2,1,rest
1764557631.7045963,-1,1,-5,-4,-1,-6,1,-7,rest
1764557631.720618,-2,0,1,1,2,0,-20,1,rest
1764557631.720618,-2,-5,-5,-1,-1,4,3,-4,rest
1764557631.722619,-1,0,2,2,-3,-6,6,4,rest
1764557631.722619,-1,-6,2,1,-1,4,-9,-1,rest
1764557631.7438843,-5,12,4,3,1,2,5,1,rest
1764557631.7438843,-1,-4,-2,-3,-1,-5,-4,-1,rest
1764557631.7448854,-2,-3,-8,-2,1,-2,0,-3,rest
1764557631.7448854,-2,0,0,1,-1,1,5,-2,rest
1764557631.757213,-1,-2,-1,-2,-1,-5,-7,0,rest
1764557631.757213,-2,-5,-2,2,-1,6,-8,1,rest
1764557631.7662137,0,3,-1,-2,0,0,9,0,rest
1764557631.7662137,-3,-4,-2,0,1,0,4,1,rest
1764557631.7812142,-2,-2,-1,-2,-3,-3,-2,0,rest
1764557631.7812142,-1,0,-2,0,0,1,2,2,rest
1764557631.7827444,-1,-4,0,-1,0,0,-3,-6,rest
1764557631.7827444,-3,-5,-4,-2,-1,-5,-8,-1,rest
1764557631.8038502,2,9,4,0,1,0,6,-1,rest
1764557631.8038502,1,-8,-3,1,-3,5,1,0,rest
1764557631.8048503,-4,2,3,0,3,-5,-4,-2,rest
1764557631.8048503,1,-5,-4,-3,-2,-3,6,-1,rest
1764557631.8167386,1,0,-1,-1,0,0,9,1,rest
1764557631.8167386,0,2,4,1,-1,-4,-8,-4,rest
1764557631.8318508,1,0,1,1,1,-1,2,-1,rest
1764557631.8318508,1,3,0,0,0,-5,3,1,rest
1764557631.8414123,-2,-4,1,-3,-2,2,6,0,rest
1764557631.8414123,0,0,-1,-1,0,-1,-10,1,rest
1764557631.8428824,-2,-1,1,0,-1,-4,-1,-3,rest
1764557631.8428824,0,5,3,-2,1,2,2,-2,rest
1764557631.8638418,5,-12,-8,1,-2,2,0,5,rest
1764557631.8638418,-11,3,3,-2,0,6,28,-9,rest
1764557631.8648412,-1,-4,-2,0,0,0,-14,1,rest
1764557631.8648412,2,5,0,0,-2,1,5,1,rest
1764557631.8772092,-3,0,-1,0,3,-2,-5,-1,rest
1764557631.8772092,2,0,2,1,1,-4,-2,0,rest
1764557631.8862455,0,-1,-3,-1,-2,2,0,-2,rest
1764557631.8862455,-2,-1,-3,-2,-2,-5,0,-2,rest
1764557631.9006004,1,1,0,0,0,4,-1,-1,rest
1764557631.9006004,1,-1,-3,-4,-2,-6,-4,0,rest
1764557631.9029768,-3,0,1,0,-3,-2,2,1,rest
1764557631.9029768,-3,-9,-7,-3,0,0,-3,-1,rest
1764557631.9239562,-1,0,0,-3,-1,-7,-3,-1,rest
1764557631.9239562,1,0,-1,-1,0,1,-2,1,rest
1764557631.924958,-1,3,1,0,-1,2,0,-1,rest
1764557631.924958,0,3,1,-1,-2,-2,1,2,rest
1764557631.9372096,-2,-3,-6,-2,-1,-2,2,-2,rest
1764557631.9372096,0,-4,0,-1,0,3,3,2,rest
1764557631.9462726,1,-2,6,1,0,-3,3,5,rest
1764557631.9462726,0,5,-8,-1,3,3,-13,-1,rest
1764557631.9614074,0,1,-1,-1,0,2,12,2,rest
1764557631.9614074,2,-2,0,0,1,1,-7,0,rest
1764557631.9624062,-1,2,0,-2,1,-1,4,-1,rest
1764557631.9624062,0,-1,4,2,1,0,-1,3,rest
1764557631.9834259,-2,0,2,0,-1,-2,-4,-2,rest
1764557631.9834259,-1,3,-1,-1,-2,-10,-3,0,rest
1764557631.9848237,0,-4,-4,-2,-1,19,4,-6,rest
1764557631.9848237,-2,0,2,-1,-2,-1,2,8,rest
1764557631.9976878,1,1,-1,-2,0,-3,3,1,rest
1764557631.9976878,-2,-5,-3,1,1,0,2,-2,rest
1764557632.0139346,0,2,-1,-2,-1,-6,-5,-4,rest
1764557632.0139346,1,0,-1,-1,-2,0,3,-5,rest
1764557632.0209756,-2,1,1,1,-1,3,1,-2,rest
1764557632.0209756,1,1,2,-1,1,-2,-2,0,rest
1764557632.0222101,0,-1,-4,0,0,-2,-4,3,rest
1764557632.0222101,-2,-5,-6,-4,-3,0,5,-3,rest
1764557632.043329,1,8,3,-1,0,0,-5,-1,rest
1764557632.043329,1,-8,-6,-1,0,1,-6,-1,rest
1764557632.0453315,-2,1,0,1,0,-1,-3,-1,rest
1764557632.0453315,1,0,5,1,1,0,-1,-2,rest
1764557632.0574012,-1,-6,-3,1,-1,-1,-5,-3,rest
1764557632.0574012,0,2,2,0,0,2,-4,0,rest
1764557632.0664194,1,-1,-2,-3,-2,-4,3,-2,rest
1764557632.0664194,-1,1,3,1,1,3,7,7,rest
1764557632.0807402,1,-8,-5,-3,-2,-5,-1,1,rest
1764557632.0807402,-3,3,0,-3,0,-2,-3,-9,rest
1764557632.081742,-2,-5,-5,-1,-2,-6,0,1,rest
1764557632.081742,-2,3,1,0,1,-2,-1,-4,rest
1764557632.1040018,0,1,1,2,-1,0,-13,-1,rest
1764557632.1040018,2,0,-1,0,1,-4,3,2,rest
1764557632.1050262,-1,0,0,1,1,0,-2,-3,rest
1764557632.1050262,1,-3,-2,-1,0,1,1,-1,rest
1764557632.1174848,-2,-6,-4,-2,-4,-5,-2,0,rest
1764557632.1174848,0,6,2,-1,-1,-1,-2,-5,rest
1764557632.1262622,-1,-7,-7,-2,3,2,-11,12,rest
1764557632.1262622,-1,2,1,-1,0,-2,3,0,rest
1764557632.1415153,-3,-7,-3,-2,0,4,7,-4,rest
1764557632.1415153,-1,7,3,-2,-2,0,-5,0,rest
1764557632.142513,1,2,1,1,0,0,5,-2,rest
1764557632.142513,-2,-1,-1,-1,0,-2,-1,-2,rest
1764557632.1638722,-3,-3,-2,0,-1,0,-9,-1,rest
1764557632.1638722,0,-3,0,0,-1,3,5,2,rest
1764557632.1648774,1,4,-1,0,-3,-6,1,-5,rest
1764557632.1648774,0,-8,-1,-2,1,-9,-6,2,rest
1764557632.1858742,-1,16,7,0,-1,8,1,-6,rest
1764557632.1858742,-2,-17,-13,-3,1,1,5,1,rest
1764557632.1878715,0,3,3,-2,0,-2,-8,0,rest
1764557632.1878715,-1,-1,0,-1,-3,-6,-4,-4,rest
1764557632.2011242,0,0,-2,1,1,-2,1,1,rest
1764557632.2011242,0,5,6,2,-2,3,3,3,rest
1764557632.202123,-2,-4,-4,-2,0,0,-1,-3,rest
1764557632.202123,-1,-2,-3,-1,0,5,0,-2,rest
1764557632.2317314,0,0,0,-1,0,-3,-1,4,rest
1764557632.2317314,-1,-2,3,0,-2,1,-4,-6,rest
1764557632.2327306,-2,-3,-7,-3,-1,-3,-1,1,rest
1764557632.2327306,-4,-9,-11,-2,-1,-1,-5,-9,rest
1764557632.245858,-1,-3,-1,-2,-2,0,1,-3,rest
1764557632.245858,0,3,1,0,-1,-2,-3,2,rest
1764557632.2478945,-3,1,4,2,0,2,-6,-2,rest
1764557632.2478945,0,3,2,1,-1,-2,5,2,rest
1764557632.2609086,-1,-4,-1,-2,-2,0,0,-2,rest
1764557632.2609086,-2,0,-4,-2,-1,0,-3,0,rest
1764557632.262969,-1,0,-1,-2,-3,1,4,1,rest
1764557632.262969,0,3,1,0,0,4,1,-1,rest
1764557632.2840362,-1,-11,-7,0,-5,-7,-4,-5,rest
1764557632.2840362,2,2,1,0,6,8,14,4,rest
1764557632.285034,1,-1,1,0,-3,-6,0,-4,rest
1764557632.285034,-1,2,0,-2,-1,-3,-4,-2,rest
1764557632.305628,1,3,1,1,2,1,-6,0,rest
1764557632.305628,-3,-2,-1,1,-3,-5,-2,-3,rest
1764557632.307666,-3,-1,-2,-3,1,-1,3,-2,rest
1764557632.307666,0,-3,-4,-2,-1,1,-3,0,rest
1764557632.3208177,0,0,0,-1,0,-8,0,-2,rest
1764557632.3208177,-1,-2,4,1,0,1,3,0,rest
1764557632.3269386,-3,-11,-6,-3,-2,0,3,0,rest
1764557632.3269386,1,3,-9,-3,-1,4,-6,0,rest
1764557632.3434002,0,-6,1,2,1,0,-5,-7,rest
1764557632.3434002,1,9,2,0,-3,-3,-2,0,rest
1764557632.345399,-1,1,4,2,2,0,3,2,rest
1764557632.345399,0,-1,0,1,-2,1,5,1,rest
1764557632.366401,-2,-1,-5,-3,-3,0,1,-1,rest
1764557632.366401,-2,-5,-2,1,2,4,-4,0,rest
1764557632.3674018,0,1,-1,-1,0,-4,-5,-5,rest
1764557632.3674018,-3,3,2,-1,-3,-6,-4,-1,rest
1764557632.3806102,3,-1,0,-3,1,1,-6,7,rest
1764557632.3806102,-3,-2,0,-1,-1,-6,5,0,rest
1764557632.387721,0,2,-3,-2,-1,1,-3,2,rest
1764557632.387721,-1,-6,1,0,-1,-1,-2,-2,rest
1764557632.4036677,1,1,2,-1,-3,-4,-3,-1,rest
1764557632.4036677,0,-2,-2,-1,-1,-3,3,-1,rest
1764557632.4056673,0,0,3,1,2,6,0,0,rest
1764557632.4056673,0,0,0,-2,-5,-9,-3,-1,rest
1764557632.4262855,-2,-3,-5,-1,2,5,7,2,rest
1764557632.4262855,-1,-6,-7,-3,3,1,-5,-2,rest
1764557632.427284,-1,4,4,0,-1,10,2,0,rest
1764557632.427284,0,-1,3,0,1,2,0,1,rest
1764557632.4402869,-1,7,4,2,1,0,2,1,rest
1764557632.4402869,-1,-2,1,0,-3,0,-4,-3,rest
1764557632.4468906,-1,-2,-3,-2,-2,-3,-3,-1,rest
1764557632.4468906,1,0,1,-2,-1,0,3,1,rest
1764557632.4631436,-1,4,1,-1,0,-2,3,-1,rest
1764557632.4631436,4,-5,-5,-3,-3,-6,-11,-3,rest
1764557632.4655898,-10,-2,-3,-1,-1,-8,-5,-4,rest
1764557632.4655898,0,-1,0,-1,1,0,3,-1,rest
1764557632.4859586,-2,0,0,-1,-3,-2,4,0,rest
1764557632.4859586,2,1,3,1,-2,-3,-3,-2,rest
1764557632.4880507,3,1,2,1,-1,-1,2,2,rest
1764557632.4880507,-1,2,3,-3,0,3,-2,0,rest
1764557632.4998152,-1,-10,-9,-4,0,-3,0,-4,rest
1764557632.4998152,-2,-8,1,-1,-1,1,6,-7,rest
1764557632.506817,1,13,-1,-1,-2,-2,-2,-1,rest
1764557632.506817,-3,-2,-2,0,1,3,0,-7,rest
1764557632.5231757,1,2,2,1,1,4,0,5,rest
1764557632.5231757,-2,-1,-2,-1,-1,-1,-2,1,rest
1764557632.5231757,-1,-3,4,2,2,2,3,0,rest
1764557632.5231757,0,1,1,2,-2,-5,-9,-7,rest
1764557632.545253,-2,-9,-10,-1,-2,2,2,-1,rest
1764557632.545253,-2,3,2,0,0,3,-1,1,rest
1764557632.5462537,1,-2,0,0,-1,-2,-4,-4,rest
1764557632.5462537,0,3,3,1,-1,-2,7,9,rest
1764557632.559727,0,-1,2,-1,1,2,-2,-2,rest
1764557632.559727,-1,2,-1,0,-1,0,-6,-2,rest
1764557632.5673575,1,-1,0,-2,-3,-8,0,-3,rest
1764557632.5673575,-2,-4,-4,-2,3,11,0,-2,rest
1764557632.582414,-1,1,0,0,-4,-7,-2,1,rest
1764557632.582414,1,1,-1,-2,-1,-6,-10,12,rest
1764557632.5835032,-2,-9,-13,-3,-1,0,6,-1,rest
1764557632.5835032,0,-1,1,2,-1,-2,-2,0,rest
1764557632.6051857,-1,5,4,1,0,0,-1,-3,rest
1764557632.6051857,-2,2,2,1,0,3,-4,0,rest
1764557632.606189,0,-3,0,-1,-2,-3,-2,0,rest
1764557632.606189,1,0,-1,-1,-3,-9,1,3,rest
1764557632.6192522,0,-1,0,-2,0,7,0,-3,rest
1764557632.6192522,-3,-3,-2,0,-2,-5,14,-4,rest
1764557632.6272545,2,4,2,2,1,3,-9,7,rest
1764557632.6272545,-3,-7,-12,-4,-2,-5,2,-3,rest
1764557632.6426349,1,1,3,-1,-2,4,-1,2,rest
1764557632.6426349,0,-3,-4,-1,-2,-1,4,-4,rest
1764557632.6436386,1,0,4,0,-1,-1,0,1,rest
1764557632.6436386,-2,3,1,0,-2,0,-4,0,rest
1764557632.6656718,0,-1,-1,1,1,-4,-3,2,rest
1764557632.6656718,0,-1,1,2,0,1,0,-2,rest
1764557632.6656718,-1,-2,-1,-1,-1,0,2,-3,rest
1764557632.6656718,0,-3,-2,-1,1,1,-6,0,rest
1764557632.6800551,-3,0,-3,-1,-1,0,4,0,rest
1764557632.6800551,2,-4,-4,-3,-1,-7,-3,3,rest
1764557632.687412,2,1,6,3,2,19,-5,-3,rest
1764557632.687412,-3,-4,-11,-4,-4,-2,-13,-6,rest
1764557632.7028332,-2,0,0,0,0,-3,0,4,rest
1764557632.7028332,-1,1,1,-3,-2,-5,1,-1,rest
1764557632.7038324,-2,0,-2,1,1,-7,2,-5,rest
1764557632.7038324,0,0,3,-1,0,1,3,-3,rest
1764557632.7254562,-2,0,1,3,0,0,-1,-1,rest
1764557632.7254562,0,0,-3,-3,-1,2,-1,-1,rest
1764557632.7264564,-1,-4,-6,-3,-3,-5,0,-3,rest
1764557632.7264564,1,6,8,1,-1,2,3,1,rest
1764557632.7394567,1,-10,-15,-4,-1,-4,-7,4,rest
1764557632.7394567,-2,0,2,-1,0,3,8,1,rest
1764557632.7474568,-1,1,2,-1,1,-3,-1,2,rest
1764557632.7474568,-1,2,1,0,-1,-2,0,2,rest
1764557632.7624564,-2,1,2,1,2,-1,-2,-1,rest
1764557632.7624564,-1,2,-2,-2,-1,2,-3,-3,rest
1764557632.7637248,-2,-15,-7,-4,-3,-5,0,1,rest
1764557632.7637248,3,9,0,0,0,-2,7,4,rest
1764557632.7853813,1,0,6,0,-1,-7,-28,-5,rest
1764557632.7853813,1,3,1,3,8,23,12,-1,rest
1764557632.7863817,-2,-5,3,1,-3,-7,-4,-2,rest
1764557632.7863817,-2,-4,-1,0,1,0,0,5,rest
1764557632.7993855,0,2,-2,-4,-3,-2,3,-2,rest
1764557632.7993855,-1,1,4,0,-1,-5,-3,0,rest
1764557632.8063858,-1,4,0,0,3,1,-2,2,rest
1764557632.8063858,0,-7,-6,-4,-3,0,1,-3,rest
1764557632.831019,-1,-2,0,-3,-1,2,7,-5,rest
1764557632.831019,-1,-2,-2,1,-1,0,-3,10,rest
1764557632.832306,-2,2,0,0,0,1,-1,-2,rest
1764557632.832306,-3,2,0,1,-1,-3,-2,-4,rest
1764557632.8453157,0,0,1,0,1,1,7,-1,rest
1764557632.8453157,-1,-3,-4,-1,-2,-4,-7,-6,rest
1764557632.8463168,0,-2,-4,-4,-2,-4,-1,-1,rest
1764557632.8463168,0,3,1,-1,0,0,-1,1,rest
1764557632.85989,1,-1,0,1,1,4,1,-2,rest
1764557632.85989,-3,-1,2,1,-1,-4,0,-2,rest
1764557632.8669636,1,-2,-2,-1,-3,-2,2,1,rest
1764557632.8669636,-2,-3,-2,-2,0,7,-6,-2,rest
1764557632.8824003,-2,5,6,-1,-2,-4,3,-1,rest
1764557632.8824003,2,-12,-11,-2,-2,-10,-3,-2,rest
1764557632.8834007,0,3,6,1,0,4,2,4,rest
1764557632.8834007,2,-9,-4,-3,-3,-5,1,-3,rest
1764557632.9131212,-1,8,2,-1,-3,-1,-19,-6,rest
1764557632.9131212,0,2,6,3,1,-6,-1,4,rest
1764557632.9141219,-6,-1,-5,0,4,5,0,-6,rest
1764557632.9141219,1,-4,3,1,1,1,6,2,rest
1764557632.9280677,0,1,1,1,-1,-3,-1,1,rest
1764557632.9280677,-3,1,-3,-3,0,1,-3,-6,rest
1764557632.9290676,3,-1,0,-2,-2,0,1,4,rest
1764557632.9290676,-1,2,3,0,-3,0,-2,1,rest
1764557632.9424562,-4,-4,-1,0,-1,-1,6,-3,rest
1764557632.9424562,0,0,-4,-1,-2,-3,-2,0,rest
1764557632.943458,-2,3,0,-1,-1,1,3,-1,rest
1764557632.943458,-1,-2,-2,1,-1,-6,-3,-1,rest
1764557632.9653845,2,-1,-5,-3,-3,-2,5,1,rest
1764557632.9653845,0,-2,1,-1,-1,-5,1,-9,rest
1764557632.9663837,-1,11,5,0,-1,-4,-1,8,rest
1764557632.9663837,0,-12,-6,-1,-2,3,4,-2,rest
1764557632.9883828,-1,-10,-12,0,3,3,2,-1,rest
1764557632.9883828,0,3,3,-1,-3,0,0,-1,rest
1764557632.9883828,-1,1,-1,-1,0,-1,-4,-8,rest
1764557632.9883828,0,3,5,-1,1,1,2,3,rest
1764557633.0024374,0,2,2,-2,-3,1,3,-5,rest
1764557633.003439,-2,-1,-3,-2,-2,3,3,1,rest
1764557633.003439,3,-3,-2,-3,-4,0,-5,1,rest
1764557633.003439,-1,-2,-2,0,1,-1,-2,3,rest
1764557633.0250793,0,1,2,-1,1,0,18,2,rest
1764557633.0250793,0,-5,-4,0,0,1,-2,-2,rest
1764557633.02608,2,0,2,1,0,-11,-1,0,rest
1764557633.02608,-1,0,-2,-3,3,23,-5,-2,rest
1764557633.047601,-2,2,-1,-2,-4,-2,-3,0,rest
1764557633.047601,-1,-17,1,0,-1,3,-2,3,rest
1764557633.048603,-1,19,-6,-1,-2,-6,0,0,rest
1764557633.048603,1,-7,-7,-1,-1,-8,-1,-7,rest
1764557633.0627203,0,-1,1,1,2,1,0,2,rest
1764557633.0627203,-1,2,2,0,-2,0,-2,-1,rest
1764557633.063721,-1,-7,1,-1,0,7,-4,-4,rest
1764557633.063721,-2,4,1,-1,0,-6,-1,-1,rest
1764557633.085126,0,-1,0,0,-3,1,-1,1,rest
1764557633.085126,-3,1,-5,-1,2,-2,-4,-3,rest
1764557633.0861742,-2,0,7,-1,0,1,0,0,rest
1764557633.0861742,9,-3,-19,-4,-3,-3,6,-4,rest
1764557633.1082,-6,-5,1,0,0,-2,-9,-5,rest
1764557633.1082,0,5,3,0,1,2,0,15,rest
1764557633.1082,-1,-2,-1,-1,-1,-1,1,-8,rest
1764557633.1082,0,2,8,1,1,-2,-5,1,rest
1764557633.1229599,1,-2,-3,-2,-1,-1,-1,-3,rest
1764557633.1229599,-2,3,-1,-2,-1,1,1,-4,rest
1764557633.1239831,1,-4,-2,1,0,-1,-1,3,rest
1764557633.1239831,-4,-1,1,-2,-3,-3,0,1,rest
1764557633.1452649,0,-2,-3,1,-1,-3,2,3,rest
1764557633.1452649,-1,5,8,-1,-4,-9,-3,0,rest
1764557633.1462803,2,-7,-10,1,6,21,14,-1,rest
1764557633.1462803,-5,2,3,2,1,-7,-2,1,rest
1764557633.1683125,-1,1,-2,-2,-1,0,0,-2,rest
1764557633.1683125,0,0,-2,-1,-2,-4,-2,-3,rest
1764557633.1683125,0,-7,-2,-2,-3,-8,-5,-1,rest
1764557633.1683125,-2,5,3,-1,-2,1,-3,0,rest
1764557633.1828864,0,0,4,0,2,0,2,1,rest
1764557633.1828864,0,-1,-2,1,-1,3,-1,-3,rest
1764557633.1838927,-2,-5,-2,-2,-3,-3,-4,-3,rest
1764557633.1838927,-2,10,3,0,0,1,6,3,rest
1764557633.204918,-2,-14,-17,-2,-3,-3,-16,4,rest
1764557633.204918,-1,-2,-3,-1,1,0,2,-10,rest
1764557633.2059212,-1,3,0,1,0,-1,-3,2,rest
1764557633.2059212,-3,-5,4,0,-1,-4,3,0,rest
1764557633.2274275,2,2,1,1,0,1,3,0,rest
1764557633.2274275,1,3,-1,0,0,2,-1,-1,rest
1764557633.228428,-3,-8,-1,0,-1,-3,-3,-1,rest
1764557633.228428,-1,6,-2,0,-2,-4,-6,-2,rest
1764557633.2431006,8,0,1,0,0,4,8,-1,rest
1764557633.2431006,-11,-4,-4,-1,5,-5,-10,-4,rest
1764557633.2441092,3,5,4,-1,-2,10,4,4,rest
1764557633.2441092,0,-4,-4,-2,-2,-2,0,-2,rest
1764557633.2656193,-2,6,1,-2,-1,-3,-1,-1,rest
1764557633.2656193,2,-1,1,0,-1,-5,1,-2,rest
1764557633.2656193,-2,-4,1,-1,-1,-8,1,-1,rest
1764557633.2656193,0,-2,-9,-2,1,4,-15,-3,rest
1764557633.2877347,-1,-3,0,1,1,1,-3,-2,rest
1764557633.2877347,-1,-8,2,1,1,5,-1,0,rest
1764557633.2887373,0,16,-2,-1,0,-3,20,-3,rest
1764557633.2887373,0,-4,6,0,0,0,3,3,rest
1764557633.3026447,-1,1,5,-1,0,-2,1,0,rest
1764557633.3026447,1,-6,-5,0,-4,2,0,1,rest
1764557633.303645,0,-3,-1,-1,-2,-1,-8,1,rest
1764557633.303645,-3,-3,-1,-1,-4,-8,0,-2,rest
